date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
07/01/2015	00	0	0	0	0.00
07/01/2015	01	0	0	0	0.00
07/01/2015	02	0	0	0	0.00
07/01/2015	03	0	0	0	0.00
07/01/2015	04	0	0	0	0.00
07/01/2015	05	0	0	0	0.00
07/01/2015	06	0	0	0	0.00
07/01/2015	07	0	0	0	0.00
07/01/2015	08	0	0	0	0.94
07/01/2015	09	0	0	0	9.92
07/01/2015	10	0	0	0	11.74
07/01/2015	11	0	0	0	22.99
07/01/2015	12	0	0	0	32.30
07/01/2015	13	0	0	0	14.95
07/01/2015	14	0	0	0	5.52
07/01/2015	15	0	0	0	0.50
07/01/2015	16	0	0	0	0.01
07/01/2015	17	0	0	0	0.00
07/01/2015	18	0	0	0	0.00
07/01/2015	19	0	0	0	0.00
07/01/2015	20	0	0	0	0.00
07/01/2015	21	0	0	0	0.00
07/01/2015	22	0	0	0	0.00
07/01/2015	23	0	0	0	0.00
08/01/2015	00	0	0	0	0.00
08/01/2015	01	0	0	0	0.00
08/01/2015	02	0	0	0	0.00
08/01/2015	03	0	0	0	0.00
08/01/2015	04	0	0	0	0.00
08/01/2015	05	0	0	0	0.00
08/01/2015	06	0	0	0	0.00
08/01/2015	07	0	0	0	0.00
08/01/2015	08	0	0	0	0.17
08/01/2015	09	0	0	0	4.86
08/01/2015	10	0	0	0	13.48
08/01/2015	11	0	0	0	20.77
08/01/2015	12	0	0	0	19.42
08/01/2015	13	0	0	0	17.97
08/01/2015	14	0	0	0	12.95
08/01/2015	15	0	0	0	1.30
08/01/2015	16	0	0	0	0.07
08/01/2015	17	0	0	0	0.00
08/01/2015	18	0	0	0	0.00
08/01/2015	19	0	0	0	0.00
08/01/2015	20	0	0	0	0.00
08/01/2015	21	0	0	0	0.00
08/01/2015	22	0	0	0	0.00
08/01/2015	23	0	0	0	0.00
09/01/2015	00	0	0	0	0.00
09/01/2015	01	0	0	0	0.00
09/01/2015	02	0	0	0	0.00
09/01/2015	03	0	0	0	0.00
09/01/2015	04	0	0	0	0.00
09/01/2015	05	0	0	0	0.00
09/01/2015	06	0	0	0	0.00
09/01/2015	07	0	0	0	0.00
09/01/2015	08	0	0	0	2.39
09/01/2015	09	0	0	0	23.36
09/01/2015	10	0	0	0	40.11
09/01/2015	11	0	0	0	37.12
09/01/2015	12	0	0	0	48.38
09/01/2015	13	0	0	0	22.72
09/01/2015	14	0	0	0	13.33
09/01/2015	15	0	0	0	1.32
09/01/2015	16	0	0	0	0.00
09/01/2015	17	0	0	0	0.00
09/01/2015	18	0	0	0	0.00
09/01/2015	19	0	0	0	0.00
09/01/2015	20	0	0	0	0.00
09/01/2015	21	0	0	0	0.00
09/01/2015	22	0	0	0	0.00
09/01/2015	23	0	0	0	0.00
10/01/2015	00	0	0	0	0.00
10/01/2015	01	0	0	0	0.00
10/01/2015	02	0	0	0	0.00
10/01/2015	03	0	0	0	0.00
10/01/2015	04	0	0	0	0.00
10/01/2015	05	0	0	0	0.00
10/01/2015	06	0	0	0	0.00
