date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
06/01/2015	06	-19.0	71.0	1002.94	0
06/01/2015	07	-18.0	71.0	1002.94	0
06/01/2015	08	-18.0	77.0	1002.95	20.0
06/01/2015	09	-17.0	77.0	1001.95	230.0
06/01/2015	10	-16.0	78.0	1001.95	430.0
06/01/2015	11	-14.0	78.0	1000.96	610.0
06/01/2015	12	-13.0	72.0	998.962	690.0
06/01/2015	13	-12.0	72.0	997.965	730.0
06/01/2015	14	-11.0	72.0	996.968	600.0
06/01/2015	15	-10.0	67.0	994.97	390.0
06/01/2015	16	-10.0	67.0	994.973	160.0
06/01/2015	17	-10.0	79.0	993.975	10.0
06/01/2015	18	-10.0	85.0	993.977	0
06/01/2015	19	-9.0	85.0	992.979	0
06/01/2015	20	-9.0	85.0	991.981	0
06/01/2015	21	-9.0	85.0	991.982	0
06/01/2015	22	-9.0	85.0	990.984	0
06/01/2015	23	-9.0	85.0	990.985	0
07/01/2015	00	-9.0	79.0	990.986	0
07/01/2015	01	-9.0	85.0	990.986	0
07/01/2015	02	-9.0	79.0	990.904	0
07/01/2015	03	-9.0	79.0	991.829	0
07/01/2015	04	-9.0	85.0	990.76	0
07/01/2015	05	-9.0	85.0	990.696	0
07/01/2015	06	-10.0	92.0	991.638	0
07/01/2015	07	-13.0	85.0	992.585	0
07/01/2015	08	-15.0	85.0	992.536	16.0
07/01/2015	09	-15.0	78.0	993.492	223.0
07/01/2015	10	-14.0	78.0	993.451	360.0
07/01/2015	11	-13.0	72.0	993.413	637.0
07/01/2015	12	-15.0	71.0	993.379	780.0
07/01/2015	13	-16.0	71.0	993.347	918.0
07/01/2015	14	-16.0	65.0	993.318	756.0
07/01/2015	15	-18.0	65.0	994.292	471.0
07/01/2015	16	-19.0	65.0	995.268	208.0
07/01/2015	17	-20.0	59.0	996.245	17.0
07/01/2015	18	-22.0	64.0	997.225	0
07/01/2015	19	-23.0	58.0	997.206	0
07/01/2015	20	-24.0	63.0	998.189	0
07/01/2015	21	-24.0	53.0	999.173	0
07/01/2015	22	-25.0	57.0	999.159	0
07/01/2015	23	-25.0	57.0	999.146	0
08/01/2015	00	-26.0	63.0	999.133	0
08/01/2015	01	-26.0	63.0	999.133	0
08/01/2015	02	-27.0	63.0	999.122	0
08/01/2015	03	-27.0	63.0	999.112	0
08/01/2015	04	-27.0	63.0	998.102	0
08/01/2015	05	-27.0	63.0	997.094	0
08/01/2015	06	-27.0	69.0	997.086	0
08/01/2015	07	-26.0	69.0	997.079	0
08/01/2015	08	-24.0	63.0	998.072	10.0
08/01/2015	09	-23.0	70.0	998.066	180.0
08/01/2015	10	-22.0	70.0	997.061	650.0
08/01/2015	11	-20.0	64.0	997.056	990.0
08/01/2015	12	-19.0	71.0	997.051	910.0
08/01/2015	13	-18.0	71.0	996.047	800.0
08/01/2015	14	-18.0	71.0	996.043	610.0
08/01/2015	15	-16.0	78.0	995.039	410.0
08/01/2015	16	-15.0	78.0	995.036	150.0
08/01/2015	17	-13.0	78.0	995.033	10.0
08/01/2015	18	-11.0	78.0	995.03	0
08/01/2015	19	-12.0	85.0	993.028	0
08/01/2015	20	-10.0	85.0	992.025	0
08/01/2015	21	-8.0	67.0	992.023	0
08/01/2015	22	-8.0	67.0	991.021	0
08/01/2015	23	-8.0	67.0	990.02	0
09/01/2015	00	-9.0	73.0	989.018	0
09/01/2015	01	-9.0	79.0	989.018	0
09/01/2015	02	-9.0	62.0	988.933	0
09/01/2015	03	-10.0	79.0	987.855	0
09/01/2015	04	-10.0	85.0	986.784	0
09/01/2015	05	-10.0	85.0	985.719	0
09/01/2015	06	-9.0	79.0	984.659	0
09/01/2015	07	-9.0	79.0	984.604	0
09/01/2015	08	-9.0	85.0	983.554	10.0
09/01/2015	09	-8.0	85.0	983.508	160.0
09/01/2015	10	-8.0	79.0	982.465	290.0
09/01/2015	11	-7.0	73.0	982.427	610.0
09/01/2015	12	-7.0	73.0	981.391	720.0
09/01/2015	13	-7.0	73.0	981.359	750.0
09/01/2015	14	-7.0	62.0	982.329	740.0
09/01/2015	15	-6.0	58.0	983.301	620.0
09/01/2015	16	-7.0	62.0	984.276	240.0
09/01/2015	17	-8.0	57.0	985.253	20.0
09/01/2015	18	-9.0	57.0	986.232	0
09/01/2015	19	-9.0	62.0	987.213	0
09/01/2015	20	-9.0	62.0	988.195	0
09/01/2015	21	-10.0	62.0	990.179	0
09/01/2015	22	-12.0	56.0	992.164	0
09/01/2015	23	-13.0	61.0	992.15	0
10/01/2015	00	-14.0	55.0	993.138	0
10/01/2015	01	-13.0	56.0	993.138	0
10/01/2015	02	-13.0	61.0	994.21	0
10/01/2015	03	-13.0	61.0	995.276	0
10/01/2015	04	-12.0	56.0	995.336	0
10/01/2015	05	-12.0	56.0	996.391	0
10/01/2015	06	-12.0	61.0	996.442	0
10/01/2015	07	-12.0	72.0	997.488	0
10/01/2015	08	-12.0	66.0	997.531	30.0
10/01/2015	09	-12.0	66.0	998.57	250.0
10/01/2015	10	-12.0	72.0	998.606	740.0
10/01/2015	11	-11.0	61.0	998.639	1119.0
10/01/2015	12	-11.0	61.0	998.669	1259.0
10/01/2015	13	-11.0	61.0	999.696	1213.0
10/01/2015	14	-10.0	57.0	999.722	1267.0
10/01/2015	15	-10.0	57.0	1000.74	610.0
10/01/2015	16	-10.0	52.0	1000.77	160.0
10/01/2015	17	-11.0	61.0	1001.79	20.0
10/01/2015	18	-10.0	67.0	1001.8	0
10/01/2015	19	-10.0	67.0	1001.82	0
10/01/2015	20	-9.0	73.0	1001.83	0
10/01/2015	21	-9.0	79.0	1001.85	0
10/01/2015	22	-10.0	85.0	1000.86	0
10/01/2015	23	-9.0	79.0	1000.87	0
11/01/2015	00	-10.0	79.0	1000.88	0
11/01/2015	01	-10.0	79.0	1000.88	0
11/01/2015	02	-10.0	67.0	1001.97	0
11/01/2015	03	-11.0	67.0	1003.06	0
11/01/2015	04	-11.0	67.0	1004.14	0
11/01/2015	05	-12.0	72.0	1005.21	0
11/01/2015	06	-12.0	78.0	1005.27	0
11/01/2015	07	-11.0	78.0	1006.34	0
11/01/2015	08	-10.0	79.0	1007.39	10.0
11/01/2015	09	-9.0	73.0	1008.44	150.0
11/01/2015	10	-8.0	73.0	1008.49	290.0
11/01/2015	11	-7.0	68.0	1007.53	550.0
11/01/2015	12	-6.0	63.0	1006.57	620.0
11/01/2015	13	-5.0	54.0	1005.61	630.0
11/01/2015	14	-5.0	58.0	1005.64	560.0
11/01/2015	15	-6.0	63.0	1005.67	450.0
11/01/2015	16	-6.0	63.0	1005.7	230.0
11/01/2015	17	-6.0	63.0	1004.72	20.0
11/01/2015	18	-6.0	68.0	1004.74	0
11/01/2015	19	-6.0	63.0	1005.77	0
11/01/2015	20	-5.0	58.0	1005.79	0
11/01/2015	21	-5.0	58.0	1005.8	0
11/01/2015	22	-5.0	58.0	1004.82	0
11/01/2015	23	-5.0	58.0	1004.83	0
12/01/2015	00	-5.0	63.0	1003.85	0
12/01/2015	01	-4.0	54.0	1003.85	0
12/01/2015	02	-4.0	58.0	1003.95	0
12/01/2015	03	-4.0	58.0	1003.03	0
12/01/2015	04	-4.0	63.0	1002.11	0
12/01/2015	05	-3.0	59.0	1002.19	0
12/01/2015	06	-3.0	80.0	1001.26	0
12/01/2015	07	-3.0	86.0	1001.32	0
12/01/2015	08	-3.0	93.0	1001.37	10.0
12/01/2015	09	-3.0	93.0	1000.93	130.0
12/01/2015	10	-3.0	86.0	999.974	380.0
12/01/2015	11	-3.0	93.0	999.018	430.0
12/01/2015	12	-3.0	93.0	999.058	470.0
12/01/2015	13	-2.0	93.0	998.595	550.0
12/01/2015	14	-2.0	86.0	999.129	580.0
12/01/2015	15	-3.0	93.0	999.66	360.0
12/01/2015	16	-3.0	93.0	1000.19	150.0
12/01/2015	17	-3.0	86.0	1001.21	30.0
12/01/2015	18	-4.0	63.0	1002.24	0
12/01/2015	19	-5.0	68.0	1004.26	0
12/01/2015	20	-7.0	68.0	1007.78	0
12/01/2015	21	-8.0	62.0	1009.8	0
12/01/2015	22	-11.0	61.0	1011.81	0
12/01/2015	23	-13.0	56.0	1012.83	0
13/01/2015	00	-15.0	55.0	1012.84	0
13/01/2015	01	-17.0	55.0	1012.84	0
13/01/2015	02	-18.0	54.0	1014.85	0
13/01/2015	03	-19.0	54.0	1014.87	0
13/01/2015	04	-20.0	54.0	1015.88	0
13/01/2015	05	-20.0	54.0	1016.89	0
13/01/2015	06	-21.0	59.0	1017.9	0
13/01/2015	07	-21.0	59.0	1017.91	0
13/01/2015	08	-21.0	64.0	1018.91	20.0
13/01/2015	09	-21.0	64.0	1019.92	320.0
13/01/2015	10	-19.0	49.0	1019.93	920.0
13/01/2015	11	-18.0	50.0	1018.93	1297.0
13/01/2015	12	-18.0	54.0	1017.94	1494.0
13/01/2015	13	-18.0	54.0	1017.94	1488.0
13/01/2015	14	-17.0	50.0	1016.95	1293.0
13/01/2015	15	-18.0	54.0	1015.95	850.0
13/01/2015	16	-18.0	54.0	1014.96	140.0
13/01/2015	17	-19.0	59.0	1014.96	30.0
13/01/2015	18	-19.0	59.0	1014.96	0
13/01/2015	19	-19.0	59.0	1014.97	0
13/01/2015	20	-20.0	64.0	1014.97	0
13/01/2015	21	-20.0	70.0	1013.97	0
13/01/2015	22	-20.0	77.0	1013.97	0
13/01/2015	23	-20.0	70.0	1012.98	0
14/01/2015	00	-20.0	70.0	1012.98	0
14/01/2015	01	-21.0	77.0	1012.98	0
14/01/2015	02	-21.0	77.0	1012.9	0
14/01/2015	03	-21.0	77.0	1011.82	0
14/01/2015	04	-22.0	77.0	1010.75	0
14/01/2015	05	-22.0	77.0	1010.69	0
14/01/2015	06	-22.0	77.0	1010.63	0
14/01/2015	07	-19.0	84.0	1009.58	0
14/01/2015	08	-21.0	77.0	1009.53	30.0
14/01/2015	09	-20.0	77.0	1008.49	260.0
14/01/2015	10	-20.0	77.0	1008.45	590.0
14/01/2015	11	-19.0	77.0	1007.41	920.0
14/01/2015	12	-18.0	84.0	1005.38	1403.0
14/01/2015	13	-16.0	78.0	1004.35	1487.0
14/01/2015	14	-15.0	66.0	1004.32	1277.0
14/01/2015	15	-15.0	71.0	1003.29	850.0
14/01/2015	16	-15.0	71.0	1003.27	170.0
14/01/2015	17	-16.0	71.0	1002.24	30.0
14/01/2015	18	-17.0	77.0	1003.22	0
14/01/2015	19	-17.0	77.0	1002.2	0
14/01/2015	20	-17.0	77.0	1002.19	0
14/01/2015	21	-18.0	77.0	1003.17	0
